,,0,0.005,0.05,0.1,0.2,0.4,0.6,0.8,1
4,Cit,0.052,0.04,0.025,0.019,0.014,0.009,0.007,0.005,0.004
4,DFOB,0,0,0,0,0,0,0,0,0
6,Cit,0.914,0.848,0.644,0.502,0.342,0.193,0.129,0.093,0.071
6,DFOB,0.195,0.175,0.144,0.13,0.118,0.111,0.106,0.104,0.106
8,Cit,0.965,0.917,0.727,0.576,0.393,0.22,0.146,0.104,0.08
8,DFOB,1,1,1,1,1,1,1,1,1
