ph,name,0.005,0.01,0.05,0.15,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
4,Edta,0.994,0.992,0.976,0.931,0.908,0.86,0.813,0.764,0.714,0.66,0.601,0.535,0.464
4,Citrate,0.075,0.048,0.009,0.002,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Edta,1.0,1.0,1.0,0.998,0.997,0.995,0.991,0.986,0.98,0.973,0.963,0.951,0.936
6,Citrate,0.79,0.727,0.396,0.104,0.062,0.027,0.015,0.009,0.006,0.004,0.003,0.002,0.001
8,Edta,1.0,1.0,1.0,1.0,1.0,0.999,0.999,0.998,0.998,0.996,0.995,0.994,0.991
8,Citrate,0.86,0.809,0.494,0.146,0.088,0.038,0.019,0.011,0.007,0.004,0.003,0.002,0.001
